Type,Option
Criteria,bucket
Criteria,cacheability
Criteria,chinaCdnRegion
Criteria,contentDeliveryNetwork
Criteria,contentType
Criteria,fileExtension
Criteria,filename
Criteria,hostname
Criteria,matchVariable
Criteria,path
Criteria,queryStringParameter
Criteria,random
Criteria,regularExpression
Criteria,requestCookie
Criteria,requestHeader
Criteria,requestMethod
Criteria,requestProtocol
Criteria,requestType
Criteria,responseHeader
Criteria,time
Criteria,userAgent
Criteria,userLocation
Behavior,allHttpInCacheHierarchy
Behavior,allowDelete
Behavior,allowHTTPSCacheKeySharing
Behavior,allowHTTPSDowngrade
Behavior,allowOptions
Behavior,allowPatch
Behavior,allowPost
Behavior,allowPut
Behavior,allowTransferEncoding
Behavior,brotli
Behavior,cacheError
Behavior,cacheId
Behavior,cacheKeyIgnoreCase
Behavior,cacheKeyQueryParams
Behavior,cachePost
Behavior,cacheRedirect
Behavior,caching
Behavior,centralAuthorization
Behavior,chaseRedirects
Behavior,constructResponse
Behavior,corsSupport
Behavior,denyAccess
Behavior,dnsAsyncRefresh
Behavior,downgradeProtocol
Behavior,downstreamCache
Behavior,edgeOriginAuthorization
Behavior,globalRequestNumber
Behavior,gzipResponse
Behavior,http2
Behavior,http3
Behavior,httpStrictTransportSecurity
Behavior,httpToHttpsUpgrade
Behavior,largeFileOptimization
Behavior,modifyIncomingResponseHeader
Behavior,modifyOutgoingRequestHeader
Behavior,modifyOutgoingResponseHeader
Behavior,modifyViaHeader
Behavior,origin
Behavior,persistentClientConnection
Behavior,persistentConnection
Behavior,prefreshCache
Behavior,readTimeout
Behavior,redirectplus
Behavior,redirect
Behavior,removeQueryParameter
Behavior,removeVary
Behavior,responseCode
Behavior,responseCookie
Behavior,returnCacheStatus
Behavior,rewriteUrl
Behavior,setVariable
Behavior,timeout
Behavior,validateEntityTag
Behavior,verifyTokenAuthorization
Behavior,webdav
Behavior,webSockets
